date_id,day_date,month_ago_date,thirty_days_ago_date,is_month_start,is_month_end
2457023,2015-01-01,2014-12-01,2014-12-02,1,0
2457024,2015-01-02,2014-12-02,2014-12-03,0,0
2457025,2015-01-03,2014-12-03,2014-12-04,0,0
2457026,2015-01-04,2014-12-04,2014-12-05,0,0
2457027,2015-01-05,2014-12-05,2014-12-06,0,0
2457028,2015-01-06,2014-12-06,2014-12-07,0,0
2457029,2015-01-07,2014-12-07,2014-12-08,0,0
2457030,2015-01-08,2014-12-08,2014-12-09,0,0
2457031,2015-01-09,2014-12-09,2014-12-10,0,0
2457032,2015-01-10,2014-12-10,2014-12-11,0,0
2457033,2015-01-11,2014-12-11,2014-12-12,0,0
2457034,2015-01-12,2014-12-12,2014-12-13,0,0
2457035,2015-01-13,2014-12-13,2014-12-14,0,0
2457036,2015-01-14,2014-12-14,2014-12-15,0,0
2457037,2015-01-15,2014-12-15,2014-12-16,0,0
2457038,2015-01-16,2014-12-16,2014-12-17,0,0
2457039,2015-01-17,2014-12-17,2014-12-18,0,0
2457040,2015-01-18,2014-12-18,2014-12-19,0,0
2457041,2015-01-19,2014-12-19,2014-12-20,0,0
2457042,2015-01-20,2014-12-20,2014-12-21,0,0
2457043,2015-01-21,2014-12-21,2014-12-22,0,0
2457044,2015-01-22,2014-12-22,2014-12-23,0,0
2457045,2015-01-23,2014-12-23,2014-12-24,0,0
2457046,2015-01-24,2014-12-24,2014-12-25,0,0
2457047,2015-01-25,2014-12-25,2014-12-26,0,0
2457048,2015-01-26,2014-12-26,2014-12-27,0,0
2457049,2015-01-27,2014-12-27,2014-12-28,0,0
2457050,2015-01-28,2014-12-28,2014-12-29,0,0
2457051,2015-01-29,2014-12-29,2014-12-30,0,0
2457052,2015-01-30,2014-12-30,2014-12-31,0,0
2457053,2015-01-31,2014-12-31,2015-01-01,0,1
2457054,2015-02-01,2015-01-01,2015-01-02,1,0
2457055,2015-02-02,2015-01-02,2015-01-03,0,0
2457056,2015-02-03,2015-01-03,2015-01-04,0,0
2457057,2015-02-04,2015-01-04,2015-01-05,0,0
2457058,2015-02-05,2015-01-05,2015-01-06,0,0
2457059,2015-02-06,2015-01-06,2015-01-07,0,0
2457060,2015-02-07,2015-01-07,2015-01-08,0,0
2457061,2015-02-08,2015-01-08,2015-01-09,0,0
2457062,2015-02-09,2015-01-09,2015-01-10,0,0
2457063,2015-02-10,2015-01-10,2015-01-11,0,0
2457064,2015-02-11,2015-01-11,2015-01-12,0,0
2457065,2015-02-12,2015-01-12,2015-01-13,0,0
2457066,2015-02-13,2015-01-13,2015-01-14,0,0
2457067,2015-02-14,2015-01-14,2015-01-15,0,0
2457068,2015-02-15,2015-01-15,2015-01-16,0,0
2457069,2015-02-16,2015-01-16,2015-01-17,0,0
2457070,2015-02-17,2015-01-17,2015-01-18,0,0
2457071,2015-02-18,2015-01-18,2015-01-19,0,0
2457072,2015-02-19,2015-01-19,2015-01-20,0,0
2457073,2015-02-20,2015-01-20,2015-01-21,0,0
2457074,2015-02-21,2015-01-21,2015-01-22,0,0
2457075,2015-02-22,2015-01-22,2015-01-23,0,0
2457076,2015-02-23,2015-01-23,2015-01-24,0,0
2457077,2015-02-24,2015-01-24,2015-01-25,0,0
2457078,2015-02-25,2015-01-25,2015-01-26,0,0
2457079,2015-02-26,2015-01-26,2015-01-27,0,0
2457080,2015-02-27,2015-01-27,2015-01-28,0,0
2457081,2015-02-28,2015-01-28,2015-01-29,0,1
2457082,2015-03-01,2015-02-01,2015-01-30,1,0
2457083,2015-03-02,2015-02-02,2015-01-31,0,0
2457084,2015-03-03,2015-02-03,2015-02-01,0,0
2457085,2015-03-04,2015-02-04,2015-02-02,0,0
2457086,2015-03-05,2015-02-05,2015-02-03,0,0
2457087,2015-03-06,2015-02-06,2015-02-04,0,0
2457088,2015-03-07,2015-02-07,2015-02-05,0,0
2457089,2015-03-08,2015-02-08,2015-02-06,0,0
2457090,2015-03-09,2015-02-09,2015-02-07,0,0
2457091,2015-03-10,2015-02-10,2015-02-08,0,0
2457092,2015-03-11,2015-02-11,2015-02-09,0,0
2457093,2015-03-12,2015-02-12,2015-02-10,0,0
2457094,2015-03-13,2015-02-13,2015-02-11,0,0
2457095,2015-03-14,2015-02-14,2015-02-12,0,0
2457096,2015-03-15,2015-02-15,2015-02-13,0,0
2457097,2015-03-16,2015-02-16,2015-02-14,0,0
2457098,2015-03-17,2015-02-17,2015-02-15,0,0
2457099,2015-03-18,2015-02-18,2015-02-16,0,0
2457100,2015-03-19,2015-02-19,2015-02-17,0,0
2457101,2015-03-20,2015-02-20,2015-02-18,0,0
2457102,2015-03-21,2015-02-21,2015-02-19,0,0
2457103,2015-03-22,2015-02-22,2015-02-20,0,0
2457104,2015-03-23,2015-02-23,2015-02-21,0,0
2457105,2015-03-24,2015-02-24,2015-02-22,0,0
2457106,2015-03-25,2015-02-25,2015-02-23,0,0
2457107,2015-03-26,2015-02-26,2015-02-24,0,0
2457108,2015-03-27,2015-02-27,2015-02-25,0,0
2457109,2015-03-28,2015-02-28,2015-02-26,0,0
2457110,2015-03-29,2015-03-01,2015-02-27,0,0
2457111,2015-03-30,2015-03-02,2015-02-28,0,0
2457112,2015-03-31,2015-03-03,2015-03-01,0,1
2457113,2015-04-01,2015-03-01,2015-03-02,1,0
2457114,2015-04-02,2015-03-02,2015-03-03,0,0
2457115,2015-04-03,2015-03-03,2015-03-04,0,0
2457116,2015-04-04,2015-03-04,2015-03-05,0,0
2457117,2015-04-05,2015-03-05,2015-03-06,0,0
2457118,2015-04-06,2015-03-06,2015-03-07,0,0
2457119,2015-04-07,2015-03-07,2015-03-08,0,0
2457120,2015-04-08,2015-03-08,2015-03-09,0,0
2457121,2015-04-09,2015-03-09,2015-03-10,0,0
2457122,2015-04-10,2015-03-10,2015-03-11,0,0
2457123,2015-04-11,2015-03-11,2015-03-12,0,0
2457124,2015-04-12,2015-03-12,2015-03-13,0,0
2457125,2015-04-13,2015-03-13,2015-03-14,0,0
2457126,2015-04-14,2015-03-14,2015-03-15,0,0
2457127,2015-04-15,2015-03-15,2015-03-16,0,0
2457128,2015-04-16,2015-03-16,2015-03-17,0,0
2457129,2015-04-17,2015-03-17,2015-03-18,0,0
2457130,2015-04-18,2015-03-18,2015-03-19,0,0
